Kq,MaximumRealPole,ShortPeriodDampingRatio,ShortPeriodNaturalFrequency_rad_s,Stable
-1,-0.00272664469961447,NaN,NaN,1
-0.996153846153846,-0.0027250316741564,NaN,NaN,1
-0.992307692307692,-0.00272341793434421,NaN,NaN,1
-0.988461538461539,-0.00272180350159552,NaN,NaN,1
-0.984615384615385,-0.00272018839765159,NaN,NaN,1
-0.980769230769231,-0.00271857264458161,NaN,NaN,1
-0.976923076923077,-0.00271695626478709,NaN,NaN,1
-0.973076923076923,-0.00271533928100641,NaN,NaN,1
-0.969230769230769,-0.00271372171631877,NaN,NaN,1
-0.965384615384615,-0.00271210359415009,NaN,NaN,1
-0.961538461538462,-0.00271048493827609,NaN,NaN,1
-0.957692307692308,-0.00270886577282823,NaN,NaN,1
-0.953846153846154,-0.00270724612229809,NaN,NaN,1
-0.95,-0.0027056260115418,NaN,NaN,1
-0.946153846153846,-0.00270400546578579,NaN,NaN,1
-0.942307692307692,-0.00270238451063132,NaN,NaN,1
-0.938461538461538,-0.00270076317205937,NaN,NaN,1
-0.934615384615385,-0.00269914147643644,NaN,NaN,1
-0.930769230769231,-0.00269751945051892,NaN,NaN,1
-0.926923076923077,-0.00269589712145923,NaN,NaN,1
-0.923076923076923,-0.00269427451681052,NaN,NaN,1
-0.919230769230769,-0.0026926516645329,NaN,NaN,1
-0.915384615384615,-0.00269102859299784,NaN,NaN,1
-0.911538461538462,-0.00268940533099487,NaN,NaN,1
-0.907692307692308,-0.00268778190773686,NaN,NaN,1
-0.903846153846154,-0.00268615835286544,NaN,NaN,1
-0.9,-0.00268453469645749,NaN,NaN,1
-0.896153846153846,-0.00268291096903079,NaN,NaN,1
-0.892307692307692,-0.00268128720154988,NaN,NaN,1
-0.888461538461539,-0.00267966342543243,NaN,NaN,1
-0.884615384615385,-0.00267803967255549,NaN,NaN,1
-0.880769230769231,-0.00267641597526148,NaN,NaN,1
-0.876923076923077,-0.00267479236636507,NaN,NaN,1
-0.873076923076923,-0.00267316887915904,NaN,NaN,1
-0.869230769230769,-0.00267154554742146,NaN,NaN,1
-0.865384615384615,-0.00266992240542192,NaN,NaN,1
-0.861538461538462,-0.00266829948792879,NaN,NaN,1
-0.857692307692308,-0.00266667683021564,NaN,NaN,1
-0.853846153846154,-0.00266505446806826,NaN,NaN,1
-0.85,-0.00266343243779211,NaN,NaN,1
-0.846153846153846,-0.00266181077621918,NaN,NaN,1
-0.842307692307692,-0.00266018952071547,NaN,NaN,1
-0.838461538461538,-0.00265856870918813,NaN,NaN,1
-0.834615384615385,-0.0026569483800934,NaN,NaN,1
-0.830769230769231,-0.00265532857244375,NaN,NaN,1
-0.826923076923077,-0.00265370932581612,NaN,NaN,1
-0.823076923076923,-0.00265209068035926,NaN,NaN,1
-0.819230769230769,-0.00265047267680217,NaN,NaN,1
-0.815384615384615,-0.00264885535646187,NaN,NaN,1
-0.811538461538462,-0.00264723876125184,NaN,NaN,1
-0.807692307692308,-0.0026456229336902,NaN,NaN,1
-0.803846153846154,-0.00264400791690805,NaN,NaN,1
-0.8,-0.00264239375465861,NaN,NaN,1
-0.796153846153846,-0.00264078049132543,NaN,NaN,1
-0.792307692307692,-0.00263916817193133,NaN,NaN,1
-0.788461538461539,-0.00263755684214729,NaN,NaN,1
-0.784615384615385,-0.00263594654830209,NaN,NaN,1
-0.780769230769231,-0.00263433733739117,NaN,NaN,1
-0.776923076923077,-0.00263272925708574,NaN,NaN,1
-0.773076923076923,-0.00263112235574308,NaN,NaN,1
-0.769230769230769,-0.00262951668241557,NaN,NaN,1
-0.765384615384615,-0.00262791228686106,NaN,NaN,1
-0.761538461538461,-0.00262630921955212,NaN,NaN,1
-0.757692307692308,-0.00262470753168721,NaN,NaN,1
-0.753846153846154,-0.00262310727520005,NaN,NaN,1
-0.75,-0.00262150850277079,NaN,NaN,1
-0.746153846153846,-0.00261991126783602,NaN,NaN,1
-0.742307692307692,-0.00261831562459997,NaN,NaN,1
-0.738461538461539,-0.00261672162804525,NaN,NaN,1
-0.734615384615385,-0.00261512933394434,NaN,NaN,1
-0.730769230769231,-0.0026135387988702,NaN,NaN,1
-0.726923076923077,-0.00261195008020857,NaN,NaN,1
-0.723076923076923,-0.00261036323616894,NaN,NaN,1
-0.719230769230769,-0.00260877832579655,NaN,NaN,1
-0.715384615384615,-0.00260719540898481,NaN,NaN,1
-0.711538461538462,-0.00260561454648702,NaN,NaN,1
-0.707692307692308,-0.00260403579992877,NaN,NaN,1
-0.703846153846154,-0.00260245923182105,NaN,NaN,1
-0.7,-0.00260088490557249,NaN,NaN,1
-0.696153846153846,-0.00259931288550243,NaN,NaN,1
-0.692307692307692,-0.00259774323685434,NaN,NaN,1
-0.688461538461538,-0.00259617602580912,NaN,NaN,1
-0.684615384615385,-0.00259461131949849,NaN,NaN,1
-0.680769230769231,-0.00259304918601949,NaN,NaN,1
-0.676923076923077,-0.00259148969444752,NaN,NaN,1
-0.673076923076923,-0.00258993291485141,NaN,NaN,1
-0.669230769230769,-0.00258837891830766,NaN,NaN,1
-0.665384615384615,-0.00258682777691502,NaN,NaN,1
-0.661538461538462,-0.00258527956380974,NaN,NaN,1
-0.657692307692308,-0.00258373435318059,NaN,NaN,1
-0.653846153846154,-0.00258219222028423,NaN,NaN,1
-0.65,-0.00258065324146114,NaN,NaN,1
-0.646153846153846,-0.00257911749415136,NaN,NaN,1
-0.642307692307692,-0.0025775850569109,NaN,NaN,1
-0.638461538461538,-0.00257605600942796,NaN,NaN,1
-0.634615384615385,-0.00257453043253966,NaN,NaN,1
-0.630769230769231,-0.00257300840824933,NaN,NaN,1
-0.626923076923077,-0.00257149001974356,NaN,NaN,1
-0.623076923076923,-0.00256997535141005,NaN,NaN,1
-0.619230769230769,-0.00256846448885457,NaN,NaN,1
-0.615384615384615,-0.00256695751892021,NaN,NaN,1
-0.611538461538462,-0.00256545452970522,NaN,NaN,1
-0.607692307692308,-0.00256395561058185,NaN,NaN,1
-0.603846153846154,-0.00256246085221539,NaN,NaN,1
-0.6,-0.00256097034658347,NaN,NaN,1
-0.596153846153846,-0.00255948418699556,NaN,NaN,1
-0.592307692307692,-0.00255800246811337,NaN,NaN,1
-0.588461538461538,-0.00255652528597119,NaN,NaN,1
-0.584615384615385,-0.00255505273799553,NaN,NaN,1
-0.580769230769231,-0.00255358492302776,NaN,NaN,1
-0.576923076923077,-0.00255212194134407,NaN,NaN,1
-0.573076923076923,-0.00255066389467756,NaN,NaN,1
-0.569230769230769,-0.00254921088624084,NaN,NaN,1
-0.565384615384615,-0.00254776302074772,NaN,NaN,1
-0.561538461538462,-0.00254632040443638,NaN,NaN,1
-0.557692307692308,-0.00254488314509257,NaN,NaN,1
-0.553846153846154,-0.00254345135207279,NaN,NaN,1
-0.55,-0.00254202513632884,NaN,NaN,1
-0.546153846153846,-0.00254060461043186,NaN,NaN,1
-0.542307692307692,-0.00253918988859695,NaN,NaN,1
-0.538461538461538,-0.00253778108670874,NaN,NaN,1
-0.534615384615385,-0.00253637832234661,NaN,NaN,1
-0.530769230769231,-0.00253498171481118,NaN,NaN,1
-0.526923076923077,-0.00253359138515045,NaN,NaN,1
-0.523076923076923,-0.00253220745618667,NaN,NaN,1
-0.519230769230769,-0.00253083005254432,NaN,NaN,1
