PoleNumber,RealPart,ImagPart,NaturalFrequency_rad_s,DampingRatio,DampedFrequency_rad_s,OscillationPeriod_s,TimeConstant_s,StablePole
1,-18.7548481485466,0,18.7548481485466,1,0,NaN,0.0533195466089389,1
2,-0.910079194854527,0,0.910079194854527,1,0,NaN,1.09880547281366,1
3,-0.00303025289824657,0.0364641477388788,0.0365898415267149,0.082816781155888,0.0364641477388788,172.311316643782,330.005459471268,1
4,-0.00303025289824657,-0.0364641477388788,0.0365898415267149,0.082816781155888,0.0364641477388788,172.311316643782,330.005459471268,1
